日期,股票代码,名称,收盘价,最高价,最低价,开盘价,前收盘,涨跌额,涨跌幅,换手率,成交量,成交金额,总市值,流通市值
2020-05-22,'300151,昌红科技,10.68,11.17,10.34,11.1,11.08,-0.4,-3.6101,2.0789,10444113,111374409.19,5366700000.0,5365573580.4
2020-05-21,'300151,昌红科技,11.08,11.37,10.57,10.78,10.72,0.36,3.3582,2.8526,14331201,158540157.9,5567700000.0,5566531392.4
2020-05-20,'300151,昌红科技,10.72,11.79,10.71,11.67,11.9,-1.18,-9.916,4.3177,21691849,242309184.51,5386800000.0,5385669361.6
2020-05-19,'300151,昌红科技,11.9,12.29,11.32,11.44,11.44,0.46,4.021,3.5183,17675920,210313056.48,5979750000.0,5978494907.0
2020-05-18,'300151,昌红科技,11.44,11.76,11.3,11.7,11.8,-0.36,-3.0508,3.0019,15081279,172812271.35,5748600000.0,5747393423.2
2020-05-15,'300151,昌红科技,11.8,12.0,11.31,11.68,11.95,-0.15,-1.2552,4.1451,20824839,242277283.6,5929500000.0,5928255454.0
2020-05-14,'300151,昌红科技,11.95,12.2,11.52,11.77,11.75,0.2,1.7021,5.0514,25377839,301992711.27,6004875000.0,6003614633.5
2020-05-13,'300151,昌红科技,11.75,12.53,11.53,12.13,12.39,-0.64,-5.1655,6.82,34263351,412717730.17,5904375000.0,5903135727.5
2020-05-12,'300151,昌红科技,12.39,12.39,11.08,11.26,11.26,1.13,10.0355,8.4636,42520702,510574464.02,6225975000.0,6224668226.7
2020-05-11,'300151,昌红科技,11.26,11.26,10.21,10.39,10.24,1.02,9.9609,4.4388,22300215,239631764.68,5658150000.0,5656962407.8
2020-05-08,'300151,昌红科技,10.24,10.66,10.23,10.6,10.51,-0.27,-2.569,3.1258,15703815,163464020.98,5145600000.0,5144519987.2
2020-05-07,'300151,昌红科技,10.51,11.06,10.31,11.0,10.91,-0.4,-3.6664,3.2575,16365572,173241859.2,5281275000.0,5280166510.3
2020-05-06,'300151,昌红科技,10.91,10.99,10.1,10.1,10.85,0.06,0.553,4.626,23240796,247949618.17,5482275000.0,5481124322.3
2020-04-30,'300151,昌红科技,10.85,11.3,10.6,10.83,10.54,0.31,2.9412,4.8967,24600670,267635573.39,5452125000.0,5450980650.5
2020-04-29,'300151,昌红科技,10.54,11.19,10.36,10.61,11.12,-0.58,-5.2158,6.1639,30967107,331955066.54,5296350000.0,5295238346.2
2020-04-28,'300151,昌红科技,11.12,12.2,10.92,12.0,12.13,-1.01,-8.3265,8.8269,44345994,501655460.53,5587800000.0,5586627173.6
2020-04-27,'300151,昌红科技,12.13,12.59,12.13,12.13,13.48,-1.35,-10.0148,11.596,58257627,710891504.22,6095325000.0,6094045648.9
2020-04-24,'300151,昌红科技,13.48,13.78,12.86,13.78,12.53,0.95,7.5818,17.7829,89340400,1218768651.78,6773700000.0,6772278264.4
2020-04-23,'300151,昌红科技,12.53,12.53,12.53,12.53,11.39,1.14,10.0088,0.4244,2132209,26716578.77,6296325000.0,6295003460.9
2020-04-22,'300151,昌红科技,11.39,11.39,10.01,10.2,10.35,1.04,10.0483,6.4766,32538146,358740078.08,5723475000.0,5722273696.7
2020-04-21,'300151,昌红科技,10.35,10.35,9.81,10.26,9.41,0.94,9.9894,10.1168,50826317,518505889.6,5200875000.0,5199783385.5
2020-04-20,'300151,昌红科技,9.41,9.41,8.99,9.02,8.55,0.86,10.0585,1.9844,9969279,92088485.5,4728525000.0,4727532527.3
2020-04-17,'300151,昌红科技,8.55,9.79,8.54,9.33,8.91,-0.36,-4.0404,4.8688,24460662,225258955.65,4296375000.0,4295473231.5
2020-04-16,'300151,昌红科技,8.91,8.91,7.9,8.01,8.1,0.81,10.0,1.8471,9279975,80439892.75,4477275000.0,4476335262.3
2020-04-15,'300151,昌红科技,8.1,8.12,7.91,8.04,8.01,0.09,1.1236,0.8973,4508233,36215273.96,4070250000.0,4069395693.0
2020-04-14,'300151,昌红科技,8.01,8.19,7.88,8.12,8.19,-0.18,-2.1978,0.9257,4650521,37133689.71,4025025000.0,4024180185.3
2020-04-13,'300151,昌红科技,8.19,8.26,7.8,7.91,7.87,0.32,4.0661,1.5158,7615174,61816573.59,4115475000.0,4114611200.7
2020-04-10,'300151,昌红科技,7.87,8.1,7.58,7.6,7.56,0.31,4.1005,1.9508,9800689,77669201.73,3954675000.0,3953844951.1
2020-04-09,'300151,昌红科技,7.56,7.62,7.5,7.56,7.51,0.05,0.6658,0.3976,1997768,15092069.42,3798900000.0,3798102646.8
2020-04-08,'300151,昌红科技,7.51,7.57,7.44,7.51,7.51,0.0,0.0,0.4906,2464622,18489296.25,3773775000.0,3772982920.3
2020-04-07,'300151,昌红科技,7.51,7.65,7.35,7.4,7.31,0.2,2.736,0.7086,3559743,26736942.54,3773775000.0,3772982920.3
2020-04-03,'300151,昌红科技,7.31,7.42,7.28,7.34,7.33,-0.02,-0.2729,0.4081,2050200,15043652.0,3673275000.0,3672504014.3
2020-04-02,'300151,昌红科技,7.33,7.37,7.1,7.26,7.23,0.1,1.3831,0.5772,2900030,20882701.4,3683325000.0,3682551904.9
2020-04-01,'300151,昌红科技,7.23,7.41,7.18,7.3,7.31,-0.08,-1.0944,0.362,1818700,13307435.0,3633075000.0,3632312451.9
2020-03-31,'300151,昌红科技,7.31,7.49,7.3,7.43,7.43,-0.12,-1.6151,0.3842,1930000,14209995.5,3673275000.0,3672504014.3
2020-03-30,'300151,昌红科技,7.43,7.59,7.32,7.43,7.41,0.02,0.2699,0.6187,3108437,23127351.99,3733575000.0,3732791357.9
2020-03-27,'300151,昌红科技,7.41,7.64,7.39,7.62,7.54,-0.13,-1.7241,0.6989,3511382,26301266.72,3723525000.0,3722743467.3
2020-03-26,'300151,昌红科技,7.54,7.66,7.26,7.36,7.36,0.18,2.4457,1.0251,5150082,38673180.83,3788850000.0,3788054756.2
2020-03-25,'300151,昌红科技,7.36,7.45,7.14,7.18,7.07,0.29,4.1018,0.7795,3916101,28545787.47,3698400000.0,3697623740.8
2020-03-24,'300151,昌红科技,7.07,7.1,6.83,7.02,6.93,0.14,2.0202,0.5549,2787877,19503074.08,3552675000.0,3551929327.1
2020-03-23,'300151,昌红科技,6.93,7.25,6.91,7.25,7.25,-0.32,-4.4138,0.7073,3553200,25146139.8,3482325000.0,3481594092.9
2020-03-20,'300151,昌红科技,7.25,7.34,7.13,7.22,7.17,0.08,1.1158,0.6238,3134175,22716745.75,3643125000.0,3642360342.5
2020-03-19,'300151,昌红科技,7.17,7.4,7.02,7.26,7.35,-0.18,-2.449,1.2257,6158032,44237429.16,3602925000.0,3602168780.1
2020-03-18,'300151,昌红科技,7.35,7.77,7.35,7.7,7.61,-0.26,-3.4166,0.9917,4982100,37804541.0,3693375000.0,3692599795.5
2020-03-17,'300151,昌红科技,7.61,7.96,7.22,7.87,7.87,-0.26,-3.3037,1.3695,6880419,51893455.15,3824025000.0,3823222373.3
2020-03-16,'300151,昌红科技,7.87,8.4,7.71,8.26,8.14,-0.27,-3.317,1.3678,6871610,55596541.4,3954675000.0,3953844951.1
2020-03-13,'300151,昌红科技,8.14,8.2,7.71,7.81,8.3,-0.16,-1.9277,2.1916,11010367,87478413.13,4090350000.0,4089491474.2
2020-03-12,'300151,昌红科技,8.3,9.18,8.29,8.92,8.98,-0.68,-7.5724,2.9195,14667300,127286556.88,4170750000.0,4169874599.0
2020-03-11,'300151,昌红科技,8.98,9.14,8.7,8.93,8.97,0.01,0.1115,2.2707,11407891,101063557.9,4512450000.0,4511502879.4
2020-03-10,'300151,昌红科技,8.97,9.29,8.66,8.97,9.62,-0.65,-6.7568,3.5958,18064941,161017246.43,4507425000.0,4506478934.1
2020-03-09,'300151,昌红科技,9.62,9.85,8.83,8.9,8.95,0.67,7.486,5.5794,28030618,265780900.73,4834050000.0,4833035378.6
2020-03-06,'300151,昌红科技,8.95,9.12,8.74,8.8,8.87,0.08,0.9019,2.2856,11482735,103175792.4,4497375000.0,4496431043.5
2020-03-05,'300151,昌红科技,8.87,9.05,8.83,8.9,8.95,-0.08,-0.8939,1.9262,9676999,86215590.99,4457175000.0,4456239481.1
2020-03-04,'300151,昌红科技,8.95,9.1,8.69,8.86,8.89,0.06,0.6749,2.8154,14144665,126068256.14,4497375000.0,4496431043.5
2020-03-03,'300151,昌红科技,8.89,8.89,8.35,8.4,8.51,0.38,4.4653,3.2537,16346617,140605830.4,4467225000.0,4466287371.7
2020-03-02,'300151,昌红科技,8.51,8.79,8.3,8.69,8.35,0.16,1.9162,2.9025,14582040,123924507.08,4276275000.0,4275377450.3
2020-02-28,'300151,昌红科技,8.35,8.53,8.0,8.1,8.2,0.15,1.8293,3.0389,15267407,126885828.01,4195875000.0,4194994325.5
2020-02-27,'300151,昌红科技,8.2,8.44,7.72,7.8,7.8,0.4,5.1282,2.035,10223741,83046145.44,4120500000.0,4119635146.0
2020-02-26,'300151,昌红科技,7.8,8.08,7.77,7.89,8.03,-0.23,-2.8643,0.8824,4433325,35070040.85,3919500000.0,3918677334.0
2020-02-25,'300151,昌红科技,8.03,8.14,7.67,8.12,8.26,-0.23,-2.7845,1.6357,8217547,65540269.24,4035075000.0,4034228075.9
2020-02-24,'300151,昌红科技,8.26,8.39,8.23,8.35,8.33,-0.07,-0.8403,1.2721,6390975,53055930.25,4150650000.0,4149778817.8
2020-02-21,'300151,昌红科技,8.33,8.38,8.28,8.35,8.35,-0.02,-0.2395,0.8946,4494668,37463085.62,4185825000.0,4184946434.9
2020-02-20,'300151,昌红科技,8.35,8.49,8.14,8.29,8.34,0.01,0.1199,1.0781,5416470,44980237.26,4195875000.0,4194994325.5
2020-02-19,'300151,昌红科技,8.34,8.39,8.0,8.02,8.05,0.29,3.6025,1.6477,8277877,68302414.59,4190850000.0,4189970380.2
2020-02-18,'300151,昌红科技,8.05,8.13,7.98,8.09,8.0,0.05,0.625,0.7957,3997563,32149705.52,4045125000.0,4044275966.5
