日期,股票代码,名称,收盘价,最高价,最低价,开盘价,前收盘,涨跌额,涨跌幅,换手率,成交量,成交金额,总市值,流通市值
2020-05-22,'688026,洁特生物,70.06,76.0,69.88,76.0,76.06,-6.0,-7.8885,16.3569,3709128,267846393.0,7006000000.0,1588698215.12
2020-05-21,'688026,洁特生物,76.06,76.46,73.5,73.5,72.95,3.11,4.2632,18.7249,4246106,320475024.0,7606000000.0,1724755727.12
2020-05-20,'688026,洁特生物,72.95,74.86,72.21,72.85,72.8,0.15,0.206,10.2745,2329862,171723699.0,7295000000.0,1654232583.4
2020-05-19,'688026,洁特生物,72.8,73.5,70.6,71.88,71.88,0.92,1.2799,10.1879,2310224,166763256.0,7280000000.0,1650831145.6
2020-05-18,'688026,洁特生物,71.88,73.24,69.36,71.17,71.17,0.71,0.9976,9.7343,2207378,157175720.0,7188000000.0,1629968993.76
2020-05-15,'688026,洁特生物,71.17,73.75,70.5,71.82,71.51,-0.34,-0.4755,10.0457,2277980,163330124.0,7117000000.0,1613868854.84
2020-05-14,'688026,洁特生物,71.51,74.4,71.08,73.5,73.88,-2.37,-3.2079,12.4435,2821717,203980336.0,7151000000.0,1621578780.52
2020-05-13,'688026,洁特生物,73.88,75.95,71.13,71.13,72.72,1.16,1.5952,16.4296,3725617,275880843.0,7388000000.0,1675321497.76
2020-05-12,'688026,洁特生物,72.72,74.8,68.78,68.86,69.34,3.38,4.8745,19.6145,4447844,324339454.0,7272000000.0,1649017045.44
2020-05-11,'688026,洁特生物,69.34,69.98,66.49,67.91,67.02,2.32,3.4617,12.4218,2816788,192972484.0,6934000000.0,1572371313.68
2020-05-08,'688026,洁特生物,67.02,69.66,66.81,68.48,68.14,-1.12,-1.6437,11.3681,2577851,175677681.0,6702000000.0,1519762409.04
2020-05-07,'688026,洁特生物,68.14,69.97,66.01,67.98,67.3,0.84,1.2481,13.731,3113679,212307782.0,6814000000.0,1545159811.28
2020-05-06,'688026,洁特生物,67.3,67.49,60.22,60.23,61.98,5.32,8.5834,12.5663,2849570,185203822.0,6730000000.0,1526111759.6
2020-04-30,'688026,洁特生物,61.98,63.99,61.66,63.0,59.43,2.55,4.2908,8.0116,1816732,114128476.0,6198000000.0,1405474098.96
2020-04-29,'688026,洁特生物,59.43,61.57,59.05,59.8,60.2,-0.77,-1.2791,5.5454,1257490,75909866.0,5943000000.0,1347649656.36
2020-04-28,'688026,洁特生物,60.2,65.98,55.0,64.56,65.43,-5.23,-7.9933,12.8694,2918302,179194240.0,6020000000.0,1365110370.4
2020-04-27,'688026,洁特生物,65.43,68.65,64.0,67.36,68.66,-3.23,-4.7043,12.1372,2752252,181585684.0,6543000000.0,1483707168.36
2020-04-24,'688026,洁特生物,68.66,70.3,66.88,66.93,66.89,1.77,2.6461,17.5775,3985922,274075844.0,6866000000.0,1556951462.32
2020-04-23,'688026,洁特生物,66.89,68.46,63.66,65.56,64.35,2.54,3.9472,14.636,3318904,222856938.0,6689000000.0,1516814496.28
2020-04-22,'688026,洁特生物,64.35,64.9,63.53,64.9,64.93,-0.58,-0.8933,6.3535,1440730,92289471.0,6435000000.0,1459216816.2
2020-04-21,'688026,洁特生物,64.93,65.88,63.41,64.04,64.33,0.6,0.9327,10.3017,2336050,151610696.0,6493000000.0,1472369042.36
2020-04-20,'688026,洁特生物,64.33,65.15,63.3,63.33,63.25,1.08,1.7075,7.7587,1759389,113638250.0,6433000000.0,1458763291.16
2020-04-17,'688026,洁特生物,63.25,65.2,63.2,64.7,65.0,-1.75,-2.6923,10.1866,2309934,147943472.0,6325000000.0,1434272939.0
2020-04-16,'688026,洁特生物,65.0,65.34,61.08,61.42,62.02,2.98,4.8049,14.6708,3326779,212721278.0,6500000000.0,1473956380.0
2020-04-15,'688026,洁特生物,62.02,62.89,60.16,60.16,60.95,1.07,1.7555,8.7119,1975526,122727283.0,6202000000.0,1406381149.04
2020-04-14,'688026,洁特生物,60.95,61.92,60.2,61.79,60.73,0.22,0.3623,5.6584,1283118,78107490.0,6095000000.0,1382117559.4
2020-04-13,'688026,洁特生物,60.73,61.83,58.25,60.89,60.74,-0.01,-0.0165,7.2148,1636043,99240496.0,6073000000.0,1377128783.96
2020-04-10,'688026,洁特生物,60.74,64.3,59.1,62.71,62.7,-1.96,-3.126,10.1216,2295197,142916585.0,6074000000.0,1377355546.48
2020-04-09,'688026,洁特生物,62.7,64.44,62.65,63.65,63.24,-0.54,-0.8539,9.189,2083728,132137624.0,6270000000.0,1421801000.4
2020-04-08,'688026,洁特生物,63.24,64.84,62.65,64.0,64.43,-1.19,-1.847,11.7471,2663808,169279073.0,6324000000.0,1434046176.48
2020-04-07,'688026,洁特生物,64.43,65.66,62.0,62.91,61.94,2.49,4.02,16.9348,3840186,245606539.0,6443000000.0,1461030916.36
2020-04-03,'688026,洁特生物,61.94,63.6,59.21,59.21,59.78,2.16,3.6132,15.4126,3495001,217913578.0,6194000000.0,1404567048.88
2020-04-02,'688026,洁特生物,59.78,60.18,58.0,58.0,58.48,1.3,2.223,8.7556,1985432,117393154.0,5978000000.0,1355586344.56
2020-04-01,'688026,洁特生物,58.48,60.0,58.2,60.0,60.61,-2.13,-3.5143,11.844,2685781,157899935.0,5848000000.0,1326107216.96
2020-03-31,'688026,洁特生物,60.61,64.3,60.18,62.3,64.5,-3.89,-6.031,12.477,2829324,176515934.0,6061000000.0,1374407633.72
